date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:00	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2029%20Dec%202025%2005:02:00%20GMT	http://sale.fico-ytl.com/	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/index.html	(from )
12:02:00	1012/1012	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Dec%202025%2005:02:01%20GMT	http://sale.fico-ytl.com/robots.txt		(from )
12:02:01	18606/18606	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2005:02:01%20GMT	http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Account/Login650d.html	(from http://sale.fico-ytl.com/)
12:02:02	10999/10999	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2029%20Dec%202025%2005:02:02%20GMT	http://sale.fico-ytl.com/bundles/modernizr?v=wBEWDufH_8Md-Pbioxomt90vm6tJN2Pyy9u9zHtWsPo1	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/bundles/modernizr8fce	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:02	15107/15107	---M-Z	200	added ('OK')	text/css	etag:%220a6c644cabd61:0%22	http://sale.fico-ytl.com/Content/bootstrap-3.1.1/css/bootstrap-datepicker.min.css	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/bootstrap-3.1.1/css/bootstrap-datepicker.min.css	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:03	32038/32038	---MCZ	200	added ('OK')	image/x-icon	etag:W/%220d6b3f14babd61:0%22	http://sale.fico-ytl.com/favicon.ico	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/favicon.ico	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:03	33627/33627	---M-Z	200	added ('OK')	text/css	etag:%220799534cabd61:0%22	http://sale.fico-ytl.com/Content/all.css	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/all.css	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:03	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%220799534cabd61:0%22	http://sale.fico-ytl.com/Content/font-awesome-4.7.0/css/font-awesome.css	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/font-awesome-4.7.0/css/font-awesome.css	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:04	2217/2217	---MCZ	200	added ('OK')	text/css	etag:W/%22095e3114cabd61:0%22	http://sale.fico-ytl.com/Content/custom-css.css	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/custom-css.css	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:04	1125/1125	---MCZ	200	added ('OK')	text/css	etag:W/%220e50e4cabd61:0%22	http://sale.fico-ytl.com/Content/mobileSite.css	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/mobileSite.css	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:05	9607/9607	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2005:02:05%20GMT	http://sale.fico-ytl.com/Guide	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Guide.html	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:05	18592/18592	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Dec%202025%2005:02:06%20GMT	http://sale.fico-ytl.com/Account/Login	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Account/Login.html	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:06	31348/31348	---M--	200	added ('OK')	image/png	etag:%22068b2104cabd61:0%22	http://sale.fico-ytl.com/Content/Images/fico-logo.png	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Images/fico-logo.png	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
12:02:10	291002/291002	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Dec%202025%2005:02:04%20GMT	http://sale.fico-ytl.com/Content/Styles?v=9FjIjiLRL-VjNUGyCwmSfx1AB44KsO2ti_ExFwevY241	C:/My%20Web%20Sites/xmtd/sale.fico-ytl.com/Content/Styles7bdd.css	(from http://sale.fico-ytl.com/Account/Login?ReturnUrl=%2F)
